Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
01:02:30.863,,848,370,-31
01:02:30.900,,850,399,-27
01:02:30.937,,843,420,-2
01:02:30.974,,876,456,-9
01:02:31.011,,891,475,27
01:02:31.048,,884,462,52
01:02:31.085,,870,487,43
01:02:31.122,,866,498,108
01:02:31.159,,846,489,123
01:02:31.196,,846,511,119
01:02:31.233,,868,503,117
01:02:31.270,,922,500,94
01:02:31.307,,936,524,48
01:02:31.344,,864,527,50
01:02:31.381,,766,534,93
01:02:31.418,,780,542,129
01:02:31.456,,871,484,118
01:02:31.493,,891,420,101
01:02:31.530,,861,431,111
01:02:31.567,,837,451,120
01:02:31.604,,829,454,125
01:02:31.641,,838,416,121
01:02:31.678,,855,411,151
01:02:31.715,,859,415,160
01:02:31.752,,859,365,153
01:02:31.789,,855,364,146
01:02:31.826,,888,383,128
01:02:31.863,,902,376,136
01:02:31.900,,895,396,153
01:02:31.937,,860,369,178
01:02:31.974,,867,364,183
01:02:32.011,,885,370,177
01:02:32.048,,877,361,177
01:02:32.085,,845,388,182
01:02:32.122,,805,390,173
01:02:32.160,,797,388,165
01:02:32.197,,817,418,167
01:02:32.234,,829,398,154
01:02:32.271,,824,404,198
01:02:32.308,,806,415,226
01:02:32.345,,833,471,237
01:02:32.382,,864,543,257
01:02:32.419,,889,593,182
01:02:32.456,,928,604,58
01:02:32.493,,869,584,-59
01:02:32.530,,916,506,-169
01:02:32.567,,945,754,-240
01:02:32.604,,921,766,-291
01:02:32.641,,882,581,-353
01:02:32.678,,746,533,-222
01:02:32.715,,676,470,-156
01:02:32.752,,701,468,-1
01:02:32.789,,685,358,109
01:02:32.827,,712,682,6
01:02:32.864,,693,870,-184
01:02:32.901,,604,753,-243
01:02:32.938,,566,713,-222
01:02:32.975,,574,657,-69
01:02:33.012,,561,751,142
01:02:33.049,,611,624,227
01:02:33.086,,660,838,1
01:02:33.123,,636,919,-151
01:02:33.160,,562,757,-65
01:02:33.197,,608,641,-97
01:02:33.234,,647,621,-213
01:02:33.271,,636,592,-245
01:02:33.308,,713,537,-242
01:02:33.345,,798,543,-262
01:02:33.382,,800,712,-203
01:02:33.419,,714,840,-148
01:02:33.456,,636,731,-67
01:02:33.493,,644,683,-170
01:02:33.530,,706,698,-108
01:02:33.568,,762,700,-54
01:02:33.605,,755,498,-2
01:02:33.642,,715,615,-21
01:02:33.679,,694,792,-76
01:02:33.716,,666,644,-9
01:02:33.753,,631,603,27
01:02:33.790,,659,697,88
01:02:33.827,,659,708,119
01:02:33.864,,676,583,207
01:02:33.901,,698,674,259
01:02:33.938,,706,532,349
01:02:33.975,,699,544,316
01:02:34.012,,640,691,74
01:02:34.049,,576,698,-101
