AccX [mg],AccY,AccZ,Ground Truth
608,656,367,-1
676,666,427,-1
609,685,320,-1
639,550,388,-1
654,650,380,-1
686,575,444,-1
672,633,395,-1
687,545,382,-1
671,678,467,-1
716,644,401,-1
689,601,490,-1
704,408,595,-1
584,582,484,-1
714,578,475,-1
664,371,596,-1
651,458,574,-1
644,417,519,-1
631,427,463,-1
729,430,628,-1
703,420,606,-1
706,306,535,-1
697,379,528,-1
697,503,584,-1
662,338,528,-1
582,593,501,-1
548,700,406,-1
591,718,448,-1
586,481,498,-1
572,478,507,-1
603,526,597,-1
677,447,586,-1
661,426,582,-1
645,522,724,-1
701,460,583,-1
781,103,529,-1
739,140,451,-1
628,118,53,-1
712,561,257,-1
694,408,302,-1
648,356,92,-1
714,703,-217,-1
802,1110,-277,-1
1409,958,209,-1
636,1066,444,-1
384,1124,422,-1
820,27,295,-1
668,962,513,-1
1018,30,-285,-1
635,1005,-455,-1
358,1020,106,-1
411,856,-390,-1
625,848,-129,-1
587,822,-163,-1
583,846,-206,-1
491,807,-183,-1
489,815,-286,-1
450,803,-218,-1
440,801,-207,-1
451,857,-241,-1
425,787,-311,-1
459,806,-288,-1
492,833,-244,-1
491,833,-255,-1
434,787,-344,-1
438,777,-273,-1
480,802,-339,-1
481,737,-333,-1
530,783,-342,-1
513,785,-324,-1
478,726,-353,-1
521,773,-333,-1
523,776,-305,-1
496,755,-324,-1
518,770,-324,-1
544,777,-327,-1
567,809,-271,-1
542,762,-298,-1
643,789,-358,-1
440,704,-199,-1
360,652,-429,-1
466,782,-167,-1
575,790,-248,-1
579,788,-122,-1
537,795,-111,-1
526,790,-225,-1
471,816,-92,-1
546,745,-416,-1
556,794,-253,-1
483,796,-175,-1
442,822,-311,-1
494,810,-239,-1
452,791,-374,-1
490,754,-330,-1
540,831,-218,-1
513,788,-303,-1
543,795,-302,-1
531,762,-314,-1
534,816,-281,-1
547,757,-268,-1
571,771,-274,-1
588,779,-182,-1
626,777,-205,-1
721,780,-45,-1
729,905,48,-1
686,772,-7,-1
465,885,-47,-1
523,669,59,-1
624,702,11,-1
707,484,85,-1
734,533,-221,-1
713,935,-514,-1
768,1220,-258,-1
684,1065,-143,-1
411,989,-358,-1
360,831,-317,-1
391,790,-442,-1
463,780,-179,-1
467,540,-262,-1
638,-210,-57,-1
1088,-415,592,-1
609,1165,569,-1
615,760,226,-1
506,922,413,-1
678,755,549,-1
474,657,368,-1
511,657,523,-1
483,847,472,-1
318,975,623,-1
393,711,303,-1
351,917,416,-1
351,744,434,-1
456,602,451,-1
653,813,486,-1
503,736,441,-1
525,629,377,-1
646,659,551,-1
286,855,503,-1
531,499,447,-1
424,845,607,-1
393,456,650,-1
530,852,484,-1
637,274,573,-1
824,439,395,-1
675,561,415,-1
212,699,901,-1
494,793,431,-1
402,899,548,-1
533,607,363,-1
403,781,583,-1
584,687,441,-1
736,497,450,-1
447,813,480,-1
257,881,630,-1
188,775,710,-1
333,827,524,-1
319,681,644,-1
502,712,383,-1
434,660,663,-1
649,637,340,-1
504,602,677,-1
392,642,556,-1
358,683,643,-1
376,641,648,-1
386,544,613,-1
577,710,643,-1
656,163,561,-1
624,467,719,-1
521,732,526,-1
228,570,817,-1
483,667,690,-1
498,551,607,-1
460,614,643,-1
553,418,633,-1
541,593,637,-1
483,563,641,-1
568,608,555,-1
534,583,552,-1
584,486,560,-1
640,396,479,-1
686,547,341,-1
523,610,336,-1
619,608,-55,-1
325,379,12,-1
442,551,-30,-1
540,862,-709,-1
624,793,-703,-1
888,1022,-563,-1
673,1026,-91,-1
638,890,-112,-1
688,946,-98,-1
827,781,-112,-1
1031,596,40,-1
900,416,249,-1
920,524,-20,-1
817,626,-187,-1
831,588,-242,-1
793,643,-296,-1
790,566,-441,-1
760,631,-340,-1
682,525,-325,-1
696,635,-257,-1
657,585,-249,-1
639,686,-252,-1
559,710,-54,-1
505,748,-184,-1
483,844,-246,-1
520,712,-244,-1
609,667,-206,-1
688,696,-281,-1
743,537,-154,-1
900,632,-185,-1
717,730,-503,-1
671,711,-326,-1
579,450,-473,-1
636,629,-326,-1
663,455,-240,-1
731,637,-309,-1
694,665,-379,-1
668,591,-329,-1
676,586,-322,-1
665,625,-339,-1
683,642,-371,-1
688,601,-346,-1
643,591,-363,-1
656,592,-343,-1
676,647,-286,-1
644,519,-314,-1
734,664,-338,-1
747,705,-375,-1
759,508,-313,-1
782,522,-322,-1
762,572,-391,-1
746,523,-393,-1
769,467,-337,-1
779,461,-314,-1
776,485,-317,-1
781,478,-297,-1
866,485,-288,-1
864,483,-229,-1
926,461,-201,-1
911,403,-175,-1
902,431,-112,-1
932,277,-93,-1
951,406,-164,-1
957,376,-165,-1
938,269,-109,-1
993,238,-42,-1
955,244,110,-1
1069,228,121,-1
995,344,11,-1
751,528,-95,-1
834,293,-151,-1
970,6,-23,-1
812,207,-35,-1
835,222,112,-1
889,307,133,-1
860,488,63,-1
822,442,72,-1
850,260,228,-1
846,350,121,-1
864,251,360,-1
890,361,321,-1
854,512,382,-1
827,591,288,-1
750,787,231,-1
737,863,177,-1
685,780,-48,-1
610,815,-108,-1
668,510,-250,-1
691,217,-252,-1
686,60,61,-1
789,402,223,-1
739,640,199,-1
853,1110,378,-1
800,627,496,-1
746,567,388,-1
613,687,276,-1
623,824,159,-1
661,740,317,-1
655,540,436,-1
637,490,447,-1
672,599,437,-1
635,555,510,-1
665,595,455,-1
640,530,493,-1
661,536,504,-1
679,537,439,-1
692,611,405,-1
496,772,278,-1
779,843,145,-1
765,591,204,-1
1010,453,344,-1
928,260,358,-1
759,462,292,-1
764,354,292,-1
872,489,261,-1
725,575,205,-1
807,511,305,-1
776,540,300,-1
708,776,239,-1
534,796,254,-1
556,740,228,-1
704,590,300,-1
709,521,333,-1
660,566,310,-1
557,713,248,-1
553,732,224,-1
547,827,237,-1
598,831,247,-1
633,720,260,-1
626,721,282,-1
638,701,257,-1
638,685,290,-1
626,667,281,-1
641,631,297,-1
637,696,317,-1
625,721,302,-1
619,720,300,-1
628,700,267,-1
603,728,285,-1
625,751,285,-1
626,733,330,-1
617,741,324,-1
606,676,343,-1
629,710,331,-1
620,660,359,-1
622,663,360,-1
640,652,349,-1
615,653,360,-1
647,702,356,-1
622,722,311,-1
627,705,349,-1
614,671,348,-1
619,703,378,-1
628,686,375,-1
607,662,398,-1
600,681,365,-1
588,652,409,-1
619,685,393,-1
610,680,381,-1
626,681,350,-1
624,662,386,-1
593,692,367,-1
666,522,390,-1
702,571,432,-1
664,474,495,-1
640,463,492,-1
718,561,472,-1
621,568,463,-1
479,804,407,-1
523,737,390,-1
515,810,356,-1
572,784,371,-1
578,740,358,-1
589,688,393,-1
619,651,390,-1
618,626,403,-1
667,591,425,-1
658,601,404,-1
660,559,425,-1
665,561,410,-1
649,585,398,-1
660,622,382,-1
636,618,369,-1
632,655,378,-1
626,677,361,-1
604,681,363,-1
632,721,336,-1
598,714,335,-1
628,714,329,-1
609,693,344,-1
617,703,336,-1
629,663,322,-1
652,664,302,-1
698,634,298,-1
718,603,309,-1
691,602,313,-1
700,571,287,-1
662,604,278,-1
672,574,319,-1
786,698,317,-1
722,605,311,-1
758,708,258,-1
748,576,220,-1
703,574,217,-1
749,535,307,-1
952,260,465,-1
785,462,443,-1
844,558,435,-1
682,532,364,-1
622,592,260,-1
664,624,248,-1
663,633,274,-1
667,647,272,-1
667,691,289,-1
675,676,302,-1
682,640,271,-1
666,650,244,-1
647,677,224,-1
634,699,225,-1
625,729,250,-1
625,709,268,-1
610,717,280,-1
588,720,271,-1
575,755,260,-1
575,747,260,-1
589,747,253,-1
606,725,254,-1
600,724,254,-1
611,728,257,-1
603,731,253,-1
587,749,252,-1
609,751,263,-1
606,765,292,-1
636,819,328,-1
650,805,365,-1
627,774,480,-1
545,652,391,-1
456,787,330,-1
453,759,315,-1
431,719,380,-1
463,789,417,-1
444,688,337,-1
430,700,360,-1
452,646,258,-1
477,702,278,-1
505,698,355,-1
501,698,343,-1
502,820,369,-1
508,805,388,-1
515,769,362,-1
584,791,361,-1
635,723,291,-1
693,631,260,-1
688,628,283,-1
663,669,285,-1
640,681,306,-1
650,687,289,-1
675,588,262,-1
700,640,327,-1
702,645,334,-1
703,649,333,-1
692,652,343,-1
695,639,322,-1
686,598,305,-1
664,585,301,-1
672,570,307,-1
711,566,376,-1
755,571,414,-1
714,537,388,-1
721,559,366,-1
716,578,350,-1
731,559,324,-1
721,559,336,-1
750,565,354,-1
741,566,367,-1
743,554,363,-1
739,573,366,-1
759,563,356,-1
748,569,345,-1
730,569,336,-1
747,576,343,-1
720,532,345,-1
740,556,357,-1
718,543,361,-1
706,553,372,-1
710,562,386,-1
696,561,392,-1
701,573,396,-1
697,580,393,-1
691,563,386,-1
701,592,385,-1
683,569,371,-1
675,618,373,-1
673,604,370,-1
672,609,369,-1
654,601,378,-1
687,595,386,-1
706,579,387,-1
761,496,433,-1
670,509,404,-1
709,592,398,-1
637,606,365,-1
665,698,321,-1
686,622,310,-1
689,649,377,-1
672,593,374,-1
711,533,393,-1
780,484,446,-1
642,522,434,-1
694,636,389,-1
695,540,375,-1
618,613,281,-1
887,694,306,-1
666,560,309,-1
673,672,378,-1
643,584,403,-1
736,483,415,-1
749,511,404,-1
740,498,384,-1
716,559,370,-1
728,532,350,-1
749,555,344,-1
773,534,338,-1
764,497,342,-1
738,530,362,-1
743,521,373,-1
736,520,380,-1
719,542,378,-1
719,536,380,-1
732,525,357,-1
752,512,359,-1
763,540,351,-1
766,520,312,-1
753,534,333,-1
767,521,352,-1
763,503,393,-1
779,491,370,-1
755,485,405,-1
777,484,387,-1
757,474,382,-1
777,450,389,-1
764,467,375,-1
771,463,382,-1
777,483,361,-1
750,501,369,-1
765,532,344,-1
754,497,348,-1
770,514,342,-1
752,509,349,-1
764,505,354,-1
756,523,358,-1
759,513,361,-1
757,527,353,-1
745,529,352,-1
743,551,355,-1
731,551,356,-1
727,590,356,-1
711,581,353,-1
707,600,354,-1
699,588,337,-1
692,615,333,-1
689,619,318,-1
676,623,315,-1
678,644,317,-1
679,627,320,-1
696,603,325,-1
700,592,332,-1
720,566,332,-1
731,564,329,-1
737,570,328,-1
730,583,298,-1
725,572,303,-1
720,594,306,-1
701,586,314,-1
697,608,324,-1
695,612,331,-1
683,602,332,-1
689,623,333,-1
712,593,328,-1
739,575,310,-1
734,572,303,-1
748,564,293,-1
757,550,297,-1
774,536,281,-1
764,530,274,-1
784,510,274,-1
771,553,269,-1
756,564,279,-1
770,563,250,-1
784,530,261,-1
804,514,256,-1
788,514,243,-1
780,524,242,-1
781,542,239,-1
777,549,251,-1
779,539,261,-1
776,536,251,-1
777,530,261,-1
777,529,253,-1
772,545,264,-1
774,544,254,-1
754,570,255,-1
748,586,242,-1
752,582,256,-1
763,568,261,-1
750,581,268,-1
734,572,259,-1
729,595,254,-1
721,590,250,-1
742,609,245,-1
737,571,260,-1
750,564,259,-1
769,549,272,-1
774,553,269,-1
747,568,264,-1
745,574,253,-1
756,589,243,-1
744,579,229,-1
742,618,232,-1
726,604,224,-1
725,619,231,-1
717,618,232,-1
716,614,238,-1
718,617,231,-1
710,615,241,-1
712,634,243,-1
695,639,244,-1
686,647,243,-1
661,675,263,-1
659,678,256,-1
640,687,277,-1
635,706,285,-1
615,709,290,-1
617,702,308,-1
614,696,294,-1
601,708,284,-1
590,743,293,-1
587,731,271,-1
596,716,288,-1
607,717,288,-1
597,703,297,-1
604,718,302,-1
597,717,295,-1
594,723,300,-1
582,726,306,-1
583,711,322,-1
583,713,339,-1
576,724,350,-1
581,720,352,-1
568,718,348,-1
579,714,329,-1
596,712,337,-1
626,683,318,-1
619,682,332,-1
641,651,354,-1
643,1007,358,-1
552,1132,361,-1
428,772,193,-1
367,726,111,-1
377,632,-65,-1
378,697,-65,-1
412,855,-108,-1
457,721,-193,-1
503,596,-25,-1
661,803,403,-1
597,417,513,-1
754,807,561,-1
661,621,733,-1
566,609,561,-1
519,648,498,-1
547,674,530,-1
613,616,492,-1
636,510,454,-1
652,594,511,-1
617,614,529,-1
602,607,503,-1
590,604,503,-1
604,604,505,-1
608,594,495,-1
603,596,483,-1
587,632,480,-1
591,633,477,-1
587,625,473,-1
591,633,480,-1
594,624,479,-1
595,621,478,-1
592,625,485,-1
582,628,486,-1
586,624,486,-1
581,633,491,-1
572,638,492,-1
563,645,494,-1
562,643,491,-1
568,648,487,-1
567,630,494,-1
575,632,489,-1
571,634,483,-1
571,647,481,-1
572,632,469,-1
584,634,479,-1
580,631,487,-1
