AccX [mg],AccY,AccZ,Ground Truth
-155,-170,1179,3
-88,-102,1045,3
-103,17,980,3
-161,-191,981,3
-59,-193,935,3
-88,-141,1021,3
-128,-240,1062,3
-98,-267,1058,3
-88,-221,967,3
-66,-191,899,3
-63,-282,916,3
-28,-188,867,3
-73,-210,983,3
-82,-231,951,3
-114,-100,996,3
-158,-213,1019,3
-130,-103,963,3
-144,-111,1004,3
-121,-84,937,3
-132,-103,1069,3
-111,-152,1062,3
-110,-16,997,3
-123,-129,1009,3
-110,-190,1005,3
-99,-85,932,3
-158,-208,1077,3
-85,-228,1001,3
-118,-138,1026,3
-117,-303,1056,3
-95,-213,955,3
-103,-278,1065,3
-47,-274,950,3
-12,-188,996,3
17,-296,1015,3
88,-146,891,3
26,-191,991,3
53,-323,987,3
-27,-35,923,3
-85,-222,1042,3
-108,-215,930,3
-128,-33,952,3
-167,-235,1049,3
-108,-150,932,3
-130,-102,1020,3
-84,-255,975,3
-44,-108,940,3
-38,-189,1030,3
-10,-190,981,3
8,-150,1041,3
-5,-174,995,3
-51,-168,1062,3
-74,-213,1023,3
-84,-99,976,3
-140,-227,1003,3
-112,-171,948,3
-131,-125,963,3
-125,-262,1000,3
-114,-135,944,3
-104,-238,1064,3
-51,-215,932,3
-79,-164,1023,3
-33,-359,1026,3
-2,-105,916,3
-50,-272,1045,3
16,-302,955,3
-27,-66,959,3
-72,-348,1053,3
-39,-83,772,3
-94,-23,895,3
-147,-448,1182,3
-47,-41,1138,3
-178,-103,1282,3
-117,-306,998,3
-74,-126,1022,3
-68,-299,933,3
-70,-238,897,3
-49,-272,948,3
0,-293,955,3
0,-243,951,3
24,-305,1029,3
8,-190,914,3
-17,-130,917,3
-45,-279,980,3
-66,-105,945,3
-89,-87,1059,3
-148,-183,1057,3
-125,-74,1006,3
-150,-128,1001,3
-126,-168,992,3
-64,-146,1009,3
-68,-170,1014,3
-61,-207,1041,3
-45,-183,999,3
-49,-182,983,3
-42,-259,989,3
-49,-209,948,3
-55,-238,989,3
-58,-269,998,3
-54,-174,958,3
-69,-228,965,3
-59,-243,977,3
-55,-163,957,3
-35,-132,872,3
-49,-71,825,3
-84,-261,1094,3
-21,-97,1045,3
-83,108,1032,3
-145,-290,1224,3
7,-118,944,3
-137,-2,1060,3
-156,-419,1180,3
27,-115,857,3
-205,-191,1124,3
-95,-436,1115,3
-112,-301,847,3
-88,-215,1065,3
-17,-413,890,3
14,-136,890,3
-31,-313,1027,3
-21,-207,881,3
-33,-85,970,3
-86,-268,989,3
-99,-86,911,3
-112,-69,1021,3
-137,-134,1007,3
-134,-80,1063,3
-160,-73,1023,3
-166,-59,972,3
-133,-119,984,3
-117,-119,957,3
-120,-115,1008,3
-124,-174,1020,3
-120,-149,995,3
-128,-158,985,3
-132,-195,1001,3
-144,-196,978,3
-147,-194,1005,3
-148,-177,988,3
-154,-156,1003,3
-120,-196,1006,3
-124,-135,981,3
-129,-181,1003,3
-152,-144,964,3
-150,-146,1001,3
-127,-133,983,3
-129,-113,1030,3
-115,-137,999,3
-125,-87,1004,3
-132,-108,994,3
-140,-106,1035,3
-144,-109,1029,3
-138,-102,1026,3
-128,-149,978,3
-138,-138,972,3
-155,-181,997,3
-129,-186,1004,3
-127,-149,1008,3
-156,-173,1018,3
-166,-174,991,3
-160,-143,986,3
-158,-190,991,3
-142,-162,954,3
-140,-159,984,3
-143,-178,994,3
-123,-155,1013,3
-100,-186,1022,3
-100,-163,997,3
-101,-160,973,3
-111,-189,989,3
-127,-163,990,3
-111,-136,994,3
-120,-156,990,3
-124,-137,969,3
-115,-94,974,3
-116,-112,1012,3
-113,-119,1046,3
-105,-103,1026,3
-104,-102,986,3
-99,-134,980,3
-96,-149,991,3
-103,-127,989,3
-111,-150,999,3
-109,-141,990,3
-105,-141,981,3
-123,-155,990,3
-135,-135,981,3
-145,-145,999,3
-158,-144,1002,3
-145,-112,1023,3
-146,-143,1020,3
-130,-151,994,3
-131,-150,998,3
-132,-136,988,3
-153,-134,1018,3
-146,-131,1000,3
-140,-137,1002,3
-157,-140,999,3
-134,-112,997,3
-144,-125,1016,3
-130,-150,1010,3
-147,-119,996,3
-139,-128,986,3
-142,-143,1018,3
-127,-126,1006,3
-139,-121,1013,3
-138,-143,990,3
-129,-128,992,3
-138,-120,993,3
-122,-141,1004,3
-108,-122,997,3
-106,-137,1005,3
-89,-131,1012,3
-83,-134,1019,3
-76,-133,1021,3
-76,-146,1016,3
-85,-125,999,3
-111,-150,1010,3
-110,-128,999,3
-108,-114,1020,3
-108,-113,1008,3
-112,-117,1013,3
-102,-127,985,3
-123,-122,999,3
-133,-146,981,3
-139,-111,993,3
-139,-152,992,3
-129,-105,990,3
-142,-150,1006,3
-134,-112,980,3
-139,-103,1000,3
-136,-134,998,3
-136,-95,1003,3
-147,-131,1016,3
-154,-122,1000,3
-171,-120,999,3
-186,-145,1001,3
-190,-133,998,3
-193,-146,1006,3
-188,-151,986,3
-192,-143,985,3
-194,-159,983,3
-189,-141,981,3
-195,-149,990,3
-193,-134,978,3
-201,-123,977,3
-208,-137,986,3
-214,-104,979,3
-217,-107,983,3
-217,-102,988,3
-214,-84,1007,3
