Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
14:53:34.993,,-12,384,932
14:53:35.030,,-18,379,947
14:53:35.067,,-12,379,929
14:53:35.104,,-11,376,913
14:53:35.141,,-1,370,929
14:53:35.178,,-3,399,941
14:53:35.215,,-7,388,950
14:53:35.252,,-12,363,929
14:53:35.289,,-2,364,921
14:53:35.326,,4,375,930
14:53:35.363,,0,389,929
14:53:35.400,,-2,402,918
14:53:35.437,,1,403,920
14:53:35.474,,14,389,921
14:53:35.511,,8,390,917
14:53:35.548,,-7,404,910
14:53:35.585,,4,384,910
14:53:35.622,,31,382,925
14:53:35.659,,18,402,922
14:53:35.696,,-7,399,916
14:53:35.733,,-11,394,919
14:53:35.770,,1,377,903
14:53:35.807,,1,394,925
14:53:35.844,,3,412,933
14:53:35.881,,2,375,904
14:53:35.918,,-6,390,933
14:53:35.955,,-4,375,938
14:53:35.992,,-16,376,942
14:53:36.029,,-21,371,943
14:53:36.066,,-15,338,920
14:53:36.103,,-10,363,960
14:53:36.140,,-6,376,943
14:53:36.177,,-8,382,934
14:53:36.214,,-1,394,932
14:53:36.251,,17,375,933
14:53:36.288,,8,382,958
14:53:36.325,,-12,380,952
14:53:36.362,,-14,361,943
14:53:36.399,,6,378,941
14:53:36.436,,10,373,924
14:53:36.473,,0,390,937
14:53:36.510,,-11,387,924
14:53:36.547,,-5,378,897
14:53:36.584,,23,372,904
14:53:36.621,,38,366,900
14:53:36.658,,19,377,901
14:53:36.695,,9,367,898
14:53:36.732,,7,357,885
14:53:36.769,,17,370,895
14:53:36.806,,16,385,915
14:53:36.843,,2,381,915
14:53:36.880,,-9,355,910
14:53:36.917,,3,358,933
14:53:36.954,,19,373,948
14:53:36.991,,17,375,951
14:53:37.028,,14,389,945
14:53:37.065,,17,396,952
14:53:37.102,,5,408,945
14:53:37.139,,-10,413,937
14:53:37.176,,1,407,947
14:53:37.213,,13,402,943
14:53:37.250,,6,401,934
14:53:37.287,,1,394,942
14:53:37.324,,-2,374,927
14:53:37.361,,-13,374,927
14:53:37.398,,-17,374,938
14:53:37.435,,-14,347,920
14:53:37.472,,-28,355,916
14:53:37.509,,-23,362,920
14:53:37.546,,-6,353,917
14:53:37.583,,-4,366,915
14:53:37.620,,-5,365,914
14:53:37.657,,-7,369,929
14:53:37.694,,-12,362,930
14:53:37.731,,-19,375,936
14:53:37.769,,-14,380,945
14:53:37.805,,-7,377,937
14:53:37.843,,-10,377,930
14:53:37.880,,-6,388,937
14:53:37.917,,0,374,929
14:53:37.954,,3,388,936
14:53:37.991,,15,398,935
14:53:38.028,,5,383,914
14:53:38.065,,-13,382,911
14:53:38.102,,-10,373,928
14:53:38.139,,-7,384,943
14:53:38.176,,-12,371,937
14:53:38.213,,-2,357,942
14:53:38.250,,14,337,926
14:53:38.287,,7,356,937
14:53:38.324,,-9,388,958
14:53:38.361,,-7,378,926
14:53:38.398,,-2,377,914
14:53:38.435,,13,372,916
14:53:38.472,,16,363,918
14:53:38.509,,-6,402,925
14:53:38.546,,-10,389,922
14:53:38.583,,7,372,914
14:53:38.620,,15,368,923
14:53:38.657,,2,375,932
14:53:38.694,,-7,378,941
