Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
18:25:23.234,,84,709,740
18:25:23.271,,108,711,754
18:25:23.308,,108,686,756
18:25:23.345,,115,681,728
18:25:23.382,,95,706,777
18:25:23.419,,101,696,724
18:25:23.456,,89,683,773
18:25:23.493,,79,684,756
18:25:23.531,,76,675,755
18:25:23.568,,77,701,746
18:25:23.605,,92,690,737
18:25:23.642,,98,693,724
18:25:23.679,,107,682,723
18:25:23.716,,95,700,719
18:25:23.753,,101,694,695
18:25:23.790,,94,690,725
18:25:23.827,,95,680,698
18:25:23.864,,87,696,706
18:25:23.901,,116,684,692
18:25:23.938,,117,714,698
18:25:23.975,,142,713,676
18:25:24.012,,160,729,705
18:25:24.049,,178,733,710
18:25:24.086,,180,733,736
18:25:24.123,,175,696,759
18:25:24.160,,148,704,773
18:25:24.197,,138,687,750
18:25:24.234,,133,709,754
18:25:24.271,,146,733,738
18:25:24.308,,161,718,748
18:25:24.345,,161,706,762
18:25:24.382,,139,714,759
18:25:24.419,,115,727,752
18:25:24.456,,91,722,733
18:25:24.493,,72,707,716
18:25:24.530,,60,684,707
18:25:24.567,,66,692,700
18:25:24.604,,75,687,712
18:25:24.642,,99,679,716
18:25:24.679,,98,657,747
18:25:24.716,,93,617,745
18:25:24.753,,67,619,757
18:25:24.790,,76,603,725
18:25:24.827,,90,668,762
18:25:24.864,,136,697,720
18:25:24.901,,162,711,758
18:25:24.938,,178,730,777
18:25:24.975,,169,670,787
18:25:25.012,,146,660,811
18:25:25.049,,129,663,765
18:25:25.086,,127,730,722
18:25:25.123,,138,752,710
18:25:25.160,,152,764,721
18:25:25.197,,160,715,729
18:25:25.234,,141,686,744
18:25:25.271,,111,682,732
18:25:25.308,,86,693,731
18:25:25.345,,85,691,733
18:25:25.382,,88,690,760
18:25:25.419,,99,656,765
18:25:25.456,,86,647,797
18:25:25.493,,70,648,787
18:25:25.530,,66,651,768
18:25:25.568,,78,665,757
18:25:25.605,,68,656,781
18:25:25.642,,80,634,769
18:25:25.679,,54,625,795
18:25:25.716,,36,600,788
18:25:25.753,,14,592,799
18:25:25.790,,8,585,790
18:25:25.827,,19,592,784
18:25:25.864,,34,599,796
18:25:25.901,,26,602,804
18:25:25.938,,15,574,813
18:25:25.975,,-12,567,820
18:25:26.012,,-33,547,813
18:25:26.049,,-57,556,815
18:25:26.086,,-73,555,808
18:25:26.123,,-83,558,809
18:25:26.160,,-86,548,813
18:25:26.197,,-89,535,836
